fullName,name,package,layer,annotations
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Controller.AppointmentController","AppointmentController","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Controller","Controller","RestController;CrossOrigin;Autowired;PostMapping;RequestBody;GetMapping;RequestParam;DeleteMapping;RequestParam;GetMapping;RequestParam"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Controller.AuthController","AuthController","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Controller","Controller","RestController;CrossOrigin;Autowired;Autowired;PostMapping;RequestBody;PostMapping;RequestBody"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Controller.demo","demo","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Controller","Controller","RestController;GetMapping;PostMapping;RequestBody"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Controller.DoctorController","DoctorController","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Controller","Controller","RestController;CrossOrigin;Autowired;PostMapping;RequestBody;GetMapping;GetMapping;RequestParam"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Controller.PatientController","PatientController","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Controller","Controller","RestController;CrossOrigin;Autowired;PostMapping;PathVariable;RequestBody;GetMapping;RequestParam"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.DoctorAppointmentSystemApplication","DoctorAppointmentSystemApplication","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem","Other","SpringBootApplication"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Entity.Appointment","Appointment","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Entity","Model","Entity;Id;GeneratedValue"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Entity.Doctor","Doctor","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Entity","Model","Entity;Id"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Entity.Patient","Patient","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Entity","Model","Entity;Id"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Entity.Student","Student","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Entity","Model","Entity;Id"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Entity.UserEntity","UserEntity","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Entity","Model","Entity;Id;GeneratedValue"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Model.StudentRequest","StudentRequest","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Model","Model",""
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Model.UserModel","UserModel","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Model","Model",""
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Repository.AppointmentRepo","AppointmentRepo","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Repository","Repository",""
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Repository.DoctorRepo","DoctorRepo","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Repository","Repository","Repository"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Repository.PatientRepo","PatientRepo","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Repository","Repository",""
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Repository.testRepo","testRepo","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Repository","Repository",""
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Repository.UserRepo","UserRepo","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Repository","Repository","Repository"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Services.AppointmentService","AppointmentService","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Services","Service","Service;Autowired"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Services.DoctorService","DoctorService","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Services","Service","Service;Autowired"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Services.LoginService","LoginService","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Services","Service","Service;Autowired"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Services.PatientService","PatientService","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Services","Service","Service;Autowired;Autowired"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Services.RegisterService","RegisterService","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Services","Service","Service;Autowired"
